Titre;Description Longue;Commune;code_postal;INSEE;Dispotifs Covid;Statut;Labels;Catégorie;geopoint;adresse
VINAUBERGE;"Vinauberge, située entre Béziers et Narbonne, à Poilhes la Romaine, est le lieu de rencontre des négociants, importateurs, producteurs de vins, journalistes, sommeliers, gastronomes et amateurs de vin. Au service de toutes ces personnes, elle présente dans un vaste espace convivial et confortable, des centaines de vins différents et des informations sur la culture régionale du vin, sa petite gastronomie et son commerce national et international.
Le concept Vinauberge est construit sur 4 piliers : le centre de négoce des vins du Languedoc Roussillon (400m2 pour la présentation et la dégustation de centaines de vins différents), le bar à tapas, l'espace évènementiel et les gîtes.";POILHES;34310;34206;"Masque 
Gel Hydroalcoolique 
distance de plus de 1m entre les tables";Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.3061113, 3.0764225;1 Rue de la Cave
DOMAINE DE LA PLAINE;"Domaine viticole de 20 hectares au pied du massif de la Gardiole, au milieu du vignoble de la zone AOC Muscat de Frontignan.
Production de Muscat de Frontignan, commercialisation de Muscat sec et mise en bouteille au Domaine.";VIC-LA-GARDIOLE;34110;34333;"Gel hydroalcoolique
Distanciation sociale
écrans de protection";Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.4855782, 3.7725708;6 route de Montpellier
LA NOISETTE D'OC, KARINE & YVAN CAUSSEL;"Restauration en terrasse panoramique en lagune de Thau, chez le producteur de coquillages du 1er avril au 31 octobre.
Du traditionnel plateau de coquillages, en passant par les coquillages gratinés, découvrez nos recettes originales...
Toute l'année,
. ventes à emporter,
. accueil de groupes, sur réservation, Karine accueille petits et grands sur leur ferme. Une visite guidée vous dévoilera tous les secrets des huîtres : de la conservation à la préparation en passant par la méthode d'ouverture suivie d'une dégustation d'une pause-déjeuner : méli-mélo de coquillages crus ou cuisinés.";MEZE;34140;34157;;Producteur;Vignobles et Découvertes;Vente de produits à la ferme;43.4049492, 3.58088093;Le Mourre Blanc
HUITRES-BOUZIGUES.COM;Producteurs d'huîtres et de moules destinées à la dégustation sous différentes formes : crues, cuites, gratinées. Nous vendons nos produits locaux aux halles de Sète (vente et dégustation dans une ambiance bistrot marché), ainsi qu'à l'Annexe, premier bar à huîtres de Sète, tenus par les producteurs. Authenticité et qualité à prix producteur. Toute l'année sur Sète. Possibilité de visiter l'exploitation et de déguster au mas à Loupian. Renseignements sur http://www.huitres-bouzigues.com.;LOUPIAN;34140;34143;;Producteur;Vignobles et Découvertes;Vente de produits à la ferme;43.4417409, 3.63403721;Le Mourre Rouge
VILA VOLTAIRE;La Vila Voltaire, c'est le coup de cœur pour une vieille maison vigneronne au cœur d'un village méditerranéen, entre mer et montagne. Les vinifications se font dans de petites cuves en inox sous bioprotection, avec une séparation des parcelles pour préserver l'identité de chaque cuvée. Le vieux pressoir a été réhabilité, et les lies fabuleuses sont réutilisées lors de l'élevage en foudre. Les barriques et jarres de terre cuite servent à l'élevage des vins en fonction de leurs potentiels.;CAZOULS-LES-BEZIERS;34370;34069;;Cave particulière;Ecocert;Vente de vins au caveau;43.3905799, 3.1019614;20 rue Voltaire
DOMAINE DE LA VOUTE DU VERDUS;Cave particulière depuis 2011, la Voûte du Verdus se trouve dans le village de Saint-Guilhem-le-Désert. Une sélection de vins issus de 8,5ha de vignes sont récoltés manuellement. Le vin est une histoire de famille et ici tout le monde est mis à contribution. Les parents pour le caveau et la culture, la fille œnologue intervient pour les vinifications et l'élevage et le fils prête main forte pour les vendanges.;SAINT-GUILHEM-LE-DESERT;34150;34261;nombre de personnes accueillis au caveau de dégustation limitée à 4;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.733795, 3.55127209;15 rue descente du portal
CLOS DE LA BARTHASSADE;"Le Domaine de la Barthassade est une création. La propriété, est gérée par Mr Baron Guillaume et sa femme Hélène. 
 Le parcellaire de 9,25 ha situé dans les Terrasses du Larzac est constitué en totalité de vieilles vignes (30-40 ans) sur  des terrasses caillouteuses  de grenache noir, syrah mourvèdre et cinsault pour les cépages « rouges » (trois îlots répartis sur Montpeyroux et Jonquières), et chenin pour le blanc (sur Saint Saturnin). Travail en agriculture biologique.";ANIANE;34150;34010;;Cave particulière;Agriculture Biologique;Vente de vin à la propriété (pas de caveau);43.671071, 3.579208;Chemin du Mas de Cambon
LE MOULIN DU CERESSOU;Le moulin est avant tout un prestataire de services pour tous les petits producteurs et particuliers souhaitant produire leur propre huile d’olive. C'est un moulin à huile familial, il produit des huiles d’olive artisanales appréciées par les connaisseurs. L’intégralité de la production d’huile d’olive est garantie vierge extra.;FONTES;34320;34103;;Producteur;;Vente des produits de l’exploitation;43.5414944, 3.3739284;22 ter avenue Frédéric Mistral
LES CAVES RICHEMER : LA CAVE DE LA PLAGE;"Au cœur de l’Hérault se trouvent les Caves Richemer, l’unique coopérative vinicole de bord de mer. Spécialiste des vins blancs et rosés depuis 90 ans, 200 viticulteurs perpétuent ainsi la tradition des cépages typiques qui bénéficient ici de l’apport d’embruns marins et permettent l’élaboration de vins régulièrement primés.  

Les Caves Richemer vous reçoivent dans leur cave de la Plage où vous pouvez profiter sur notre terrasse de planches à partager entre amis ou en famille autour d’un verre de vin Richemer !

Idéalement située et labellisée « Accueil Vélo » vous pourrez venir y faire une halte lors de vos sorties à vélo vers la Lagune de Thau, la réserve naturelle du Bagnas, le Canal du Midi ou encore Sète par le Lido.";MARSEILLAN-PLAGE;34340;34150;;Coopérative;Vignobles et Découvertes;Vente de vins au caveau;43.321926, 3.554707;Avenue de Sète
DOMAINE DELONCA;"Aux portes de Béziers le Vignoble Delonca s’étend  sur les territoires de 4 villages : Cers, Villeneuve-les -Béziers, Portiragnes, Sérignan et la Ville de Béziers.

Le Vignoble Delonca est ancré dans l’identité locale du village de Cers depuis 1884, et Olivier représente la cinquième génération Vigneronne.

Il maitrise le travail de la terre , la vinification et l'élaboration des vins dans un chai  pourvu des dernières technologies.

Magali vous accueille dans le caveau de vente et dégustation contemporain, climatisé situé face aux vignes et au Canal du Midi, possédant un parking accessible à tous.

Vous pouvez y déguster leurs gammes de vins en rouge, blanc et rosé conditionnées en bouteille et en bag in box 
Des vins en Appellation IGP Pays d'Oc et IGP Coteaux de Béziers.

Le Vignoble Delonca est Certifié Exploitation HVE 3 (Haute Valeur Environnementale).";CERS;34420;34073;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.3197139, 3.3075686;21 avenue de la Condamine
DOMAINE GREGORY WHITE;"Depuis 2013, je cultive 4,80ha de vignes dans le respect du vivant tant à la vigne qu'à la cave. Les vignes sont situées à Aspiran, juste au sud de Clermont l'Hérault. 

Les vignes sont âgées de 25 à 80 ans et sont pour la plupart plantées en gobelet.";ASPIRAN;34800;34013;;Cave particulière;;Vente de vin à la propriété (pas de caveau);43.566842, 3.448536;16 bis rue de la cave coopérative
CLOS CONSTANTIN;"Les vignes appartenaient à la famille de Pierre, traditionnellement coopérateurs. Parce qu' il rêvait de vinifier, il a commencé dans une petite cave avec quelques cuves. 
Puis quand Samuel, ancien sommelier décide de se joindre à l’aventure, ils décident ensemble de se lancer avec une philosophie commune : Le Terroir et la typicité dans le respect de la biodiversité. 

Les terroirs sont classés en AOP Terrasses du Larzac et Languedoc. Le domaine compte 15 hectares qui sont répartis sur deux terroirs différents (travail en bio, en conversion depuis un an). 

Les vignes sont isolées et bordées par la garrigue en relief, c’est un véritable jardin de senteurs. Les vins reflètent la typicité du terroir, la fraîcheur et la gourmandise.";ARGELLIERS;34380;34012;;Producteur;;Vente de vins au caveau;43.696309, 3.673062;Route de Viols-le-fort
MAS DES COLIBRIS;"L'exploitation agricole compte 10ha de vigne cultivées en Bio  sur la commune de Gignac dans l'Hérault à 25 km au nord ouest de Montpellier.
Les vignes sont situées sur les contreforts du Causse d'Aumelas, sur un terroir très qualitatif classé en AOC Coteaux du Languedoc/Grès de Montpellier.
La culture de la vigne se fait dans le respect de l'environnement : pas de produits chimiques de synthèse, travail du sol (pas d'herbicides), amendements organiques.
Le Mas des Colibris est en premier lieu une exploitation viticole, mais il se veut aussi être un lieu d'échange, de partage et de convivialité.";GIGNAC;34150;34114;Vente et dégustation uniquement sur rendez-vous;Cave particulière;Demeter;Vente de vin à la propriété (pas de caveau);43.6408784, 3.5564599;2600, Chemin de Pélican
DOMAINE DE L'ARGENTEILLE;Le domaine de l’Argenteille implanté sur des sols argilo-calcaires avec des cailloux roulés est un domaine viticole de 8ha au cœur du vignoble de l’AOC Terrasses du Larzac de Saint Saturnin, au Nord de Montpellier et sur les premiers contreforts du Larzac. Chez les Jeanjean, le vin est une histoire de famille et de passion qui se transmet de génération en génération.;SAINT-FELIX-DE-LODEZ;34725;34254;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.6602639, 3.47192958;171 chemin de Labiras
DOMAINE DE L'ASTER;Le Domaine de l’Aster se situe à Péret au cœur de l’Hérault dans les zones d’appellation Languedoc, Languedoc-Pézenas et Clairette du Languedoc. Niché au pied du volcan Malhubert, le vignoble familial se transmet de génération en génération depuis plusieurs siècles. Il bénéficie de l’influence volcanique et basaltique de la chaîne des volcans du Puy.;PERET;34800;34197;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.5698015, 3.4069379;20 route de Clermont
OCCITANIE COQUILLAGES;Située sur le port de Vendres, la boutique Occitanie Coquillages est spécialisée dans la production de crustacés et coquillages depuis 1990. Affinage d’huîtres en mer, production de moules et vente directe de produits frais : palourdes, praires, clams, escargots de mer, bulots, crevettes, gambas, tourteaux, langoustines... Dégustations en boutique tout l'été. Les ostréiculteurs de la boutique sont disponibles pour vous conseiller et vous aider à choisir vos produits frais. Une adresse incontournable pour les amoureux des fruits de mer.;VENDRES-PLAGE;34350;34329;"Pendant le confinement : 

Ouvert du jeudi au dimanche de 9h 12h30  (le matin uniquement)";Producteur;;Vente des produits de l’exploitation;43.2194741, 3.2345288;Port du Chichoulet
MOULIN DU MAS PALAT;"Le Moulin du Mas Palat est un domaine oléicole situé sur la commune de Gignac au cœur de la Vallée de l'Hérault.
Passionnés par notre métier, nous vous invitons au domaine afin de vous initier à la culture de l'olivier aux secrets de l'extraction et à la dégustation des différentes huiles d'olive, olives de table et tapenade.
Aire de camping-car à disposition (5 emplacements sur réservation)";GIGNAC;34150;34114;;Producteur;Vignobles et Découvertes;Vente de produits à la ferme;43.6381691, 3.57201999;MOULIN DU MAS PALAT
DOMAINE DE FERRUSSAC;Situé sur le Causse du Larzac méridional, Renaud vous fera découvrir le Domaine de Ferrussac où il cultive ses vignes et élève ses bovins. Il vous expliquera son travail de la vigne en Bio, ses vinifications, comment il élève ses Aubracs au plus proche de la Nature. A la recherche du goût, de la qualité et de la gastronomie, vous découvrirez ses vins, ses viandes, terrines et conserves. Les visites du domaine peuvent se faire en audio-guide en créant un compte sur : https://visit.terrasses-du-larzac.com/fr/domain/pl-domaine-de-ferrussac/visit?id=clk11a5qb0mhf0krs2iolb242;LA VACQUERIE-ET-SAINT-MARTIN-DE-CASTRIES;34520;34317;Prise de rdv, mise à disposition de gel hydroalcoolique, respect des gestes barrières et des distances de sécurité;Producteur;Vignobles et Découvertes;Vente de vins au caveau;43.7970001, 3.49433557;Domaine de Ferrussac
LES TERRES D'ARMELLE;Les vignes du domaine s'étendent sur 6 hectares situés sur les coteaux de Corneilhan, au nord de Béziers, en plein cœur du Languedoc. Quatre hectares sont en AOP Coteaux du Languedoc et deux en IGP Coteaux de Béziers. Le domaine met en valeur des cépages locaux et anciens, cultivés sur des vignes âgées de 13 à 50 ans. Les cépages rouges comprennent le Cinsault, l'Alicante, le Carignan, la Syrah et le Grenache, tandis que les cépages blancs incluent le Grenache blanc et le Muscat petit grain. Ce terroir authentique reflète la richesse des traditions viticoles de la région.;MARAUSSAN;34370;34148;RDV obligatoire;Producteur;Vignobles et Découvertes;Vente de vins au caveau;43.3694185, 3.16269309;112 Rue de Revel
DOMAINE CHEMIN DE NOTRE DAME;Le Domaine Chemin Notre Dame est le fruit d’un rêve d’adolescent, mûri pendant 30 ans, comme les grappes de syrah qui ornent ses vignes. Ce domaine, né de la passion et de l’engagement, propose des vins qui se bonifient au fil du temps, à l’image de son créateur. Les cépages, cultivés avec soin, révèlent des arômes subtils et raffinés, fruit d’un travail respectueux du terroir. Venez découvrir cette histoire de passion, de patience et de qualité, à travers une gamme de vins qui expriment toute la richesse et l’âme du domaine.;MARAUSSAN;34370;34148;"- Ouverture le samedi a partir de 11h
- Maque et gel à disposition 
- Livraison gratuite pour l'achat de 2 cartons de 6 bouteilles dans un rayon de 25 km";Producteur;;Vente de vins au caveau;43.374198, 3.155423;310 Rue de la Fontace
CHÂTEAU BOISSET;"C’est un roc, c’est un cap, c’est un pic, que dis-je « c’est notre pic ». C’est notre Pic Saint Loup, qui étend son ombre protectrice sur le Château Boisset depuis au moins 1157, et ce n’est pas prêt de s’arrêter !!
Pour vous parler de nos vins, nous pourrions évoquer le terroir, le sol argilo-calcaire, le climat plus arrosé et plus frais que dans le reste du Languedoc ou bien l’orientation des parcelles qui composent les 45 ha du domaine, mais nous préférons vous présenter le travail acharné des femmes et des hommes qui ont su affronter la rudesse de la terre depuis 1873 et tirer ainsi patiemment le précieux nectar de nos vignes !
Aujourd’hui, à travers nos trois différentes appellations, c’est le meilleur d’eux-mêmes que nous vous proposons de découvrir à travers la visite de nos terres, de notre cave et bien entendu de la dégustation gourmande de nos produits !";VALFLAUNES;34270;34322;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.8027413, 3.88056551;Boisset
DOMAINE CAMP LOUIS;En plein coeur du vignoble héraultais, le Domaine Camp Louis, labellisé Terra Vitis, cultive des vignes dans le cadre d'une agriculture raisonnée et dans le respect de l'environnement pour produire des vins frais et élégants.;ALIGNAN-DU-VENT;34290;34009;"Livraison à domicile sur le biterrois et le piscenois dans un rayon de 40 km. 
Accueil du public pour vente en directe contactez-nous au 06 95 44 27 03. 
 Vous pouvez aussi commander en ligne sur la boutique www.alignanshop.fr";Cave particulière;;Vente de vins au caveau;43.448664, 3.34217422;Route de Valros
DOMAINE BONFILS;"La dégustation et la vente de ces vins IGP Pays d'Oc de grande qualité se fait au Château Les Carrasses à Quarante, un domaine viticole du XIXe siècle rénové et réinventé en un lieu de villégiature luxueux et raffiné.

L'orientation ouest du vignoble marie harmonieusement la fraîcheur des entrées maritimes de la méditerranée et le feu du soleil couchant.

Ici, les Chardonnay et Pinot Noir s'épanouissent amplement. Leur expression est précise, leur aromatique puissant.

Accueil de groupe : sur rendez-vous";CAPESTANG;34310;34052;;Cave particulière;;Vente de vins au caveau;43.332526, 3.079614;Cibadiès
DOMAINE LA BOSQUE;"La Bosque, c’est une poignée de vignes nichées au coeur du Maquis, entourées de chênes verts et d'arbousiers sur les travers schisteux de l'AOP Saint-Chinian. 
Depuis 2016, nous avons embarqué nos vignes, dans l’aventure du bio. Et travaillé nos 7 hectares comme un jardin dans lequel cohabitent la vigne, les arbres, les plantes, les insectes et les animaux. 
Nous avons choisi de mettre en avant les cépages languedociens d’aujourd’hui et d’hier, au travers de cuvées originales. 
Nous pratiquons une vinification douce, accompagnons les raisins sur le chemin du vin, en essayant de les influencer le moins possible. Le but étant d’avoir des vins frais, aux tannins soyeux, proches du fruit.
La Bosque, c’est une aventure intense, sincère, collective, que l’on partage, que l’on protège, que l’on savoure.
La Bosque, c’est l’amour, l’amitié et l’intégrité. 
La Bosque, c’est notre Histoire !";CESSENON-SUR-ORB;34460;34074;;Cave particulière;Vignobles et Découvertes;Vente de vins au caveau;43.44969, 3.045171;23 Rue Saint Roch
DOMAINE MARIE DE LAUZERDA;"Les cuvées de l'appellation Saint-Chinian portent des noms comme ""Le chant du silence"" ou ""Mille et une pierres"" et vous racontent l'histoire du domaine.

Marie était une paysanne, une femme de la terre, qui avec passion et noblesse travaillait la vigne. Jusqu'à très tard, elle a gardé une terre, où, âgée, elle se rendait avec enfants et petits-enfants. Bien des années après sa disparition, son petit-fils lui rend hommage avec ce domaine. Cette terre s'appelait Lauzerda.


Label : Agriculture Biologique

 Qualité Sud de France";VILLESPASSANS;34360;34339;Sur rendez-vous;Cave particulière;Ecocert;Vente de vins au caveau;43.3807738, 2.9142991;2 avenue d'Agel
PUR SAFRAN DE CAPESTANG;Vente aux particuliers et professionnels sur rendez-vous.;CAPESTANG;34310;34052;;Producteur;;Vente des produits de l’exploitation;43.327821, 3.044085;Marc Bonzom
DOMAINE LA FOURCADE;"Avec ses 6 gîtes de 4 à 14 personnes, le domaine de la Fourcade vous accueille également pour un séjour bucolique à deux pas du Canal du Midi.
Production d’asperges vertes depuis 2004 sur 50 hectares de terrains agricoles. Cultivées sur des terres sablo-calcaires, qui affirment une qualité gustative supérieure. Leur goût subtilement sucré emporte l’unanimité. Au plaisir de vous accueillir !";CAPESTANG;34310;34052;;Producteur;;Vente des produits de l’exploitation;43.341793, 3.06988;La Fourcade
DOMAINE DE LA FLEUR DE VIE;"Situé sur les hauteurs de Cessenon-sur-Orb, ce lieu jouit d’une vue exceptionnelle sur la région. On y contemple les villages alentours, les montagnes et la fleur de vie de 4000m².
Le domaine est entièrement conçu en accord avec la nature. Tout y est organisé dans le but de respecter le lieu originel et la beauté de ce petit coin d’arrière pays. 

Plusieurs événements sont proposés pour toute la famille et tous les âges :

 - Rencontres potagères
 - Ateliers des petits jardiniers
 - Promenade gustative
 - Cueillette sauvage
 - Atelier paillage et entretien des sols
- Construction d’hôtel à insectes
- Repas partagé: venez faire découvrir vos spécialités, recettes et/ou légumes originaux
- On se tient au jus : cueillette et réalisation de jus vitaminés
- Cueillette de fin de saison 
- Confection de paniers
- Confection autour de la lavande
- Faire ses produits ménagers maison
- Promenades poétiques : expositions ponctuelles à ciel ouvert d’artistes de la région
- Compost
- A-Thé-Lié";CESSENON-SUR-ORB;34460;34074;;Producteur;Agriculture Biologique;Vente des produits de l’exploitation;43.4505694, 3.0528175;Lieu-dit Maro
LE CLOS DES COMBALS;"Depuis des générations, les femmes du domaine se transmettent les valeurs de travail, de persévérance et d'amour de la terre.
En 2017, j'ai l'audace d'apporter ma pierre à cette pérennisation : le Clos des Combals est né.
La terre, la femme, une vigneronne.
Une alliance de force, de caractère pour un raisin de qualité, des vendanges manuelles, une vinification par cépage et la recherche constante d'un vin d'élégance.
5 hectares de vignes et un hectare d'oliviers en cours de conversion en agriculture biologique menés par tout un savoir faire, minutie et rigueur.";SAINT-JEAN-DE-FOS;34150;34267;"Accueil sur RDV du lundi au dimanche de 10h à 18h
Port du masque obligatoire et désinfection au gel hydroalcoolique
Possibilité de commander par téléphone, mail et en ligne.
Livraison dans la Communauté de Communes de la Vallée de l'Hérault gratuite à partir du 1er carton acheté.
Livraison en France Métropolitaine gratuite à partir de 12 bouteilles
Retrait possible sur l'exploitation sur RDV";Cave particulière;Agriculture Biologique;Vente de vins au caveau;43.6850912, 3.5582268;Route de Gignac
VINAIGRERIE MONTPELLIÉRAINE;"La vinaigrerie Montpelliéraine élabore avec patience des vinaigres de vins Bio par un Process agroresponsable et durable.L’objectif est de redonner de la Noblesse à ce produit millénaire et traditionnel du terroir Languedocien.
En sélectionnant les vins et par assemblage des cépages bio auprès des vignerons Héraultais, notre
politique est de produire naturellement des vinaigres de terroirs et de les distribuer sur Montpellier et
ses environs en circuit court.
Pour respecter au mieux l’environnement nous n’utilisons au maximum que des matières naturelles dans le process de fabrication et de distribution : tonneaux en chêne et châtaignier, outils en inox, casiers à bouteilles en bois, étiquettes kraft, cire à cacheter… Nicolas Robinson en véritable passionné a réuni son expérience dans le domaine viticole et ses diplômes agricole pour se lancer dans ce formidable projet agro-écologique et redorer cette belle profession...";LES MATELLES;34270;34153;;Producteur;Agriculture Biologique;Artisanat gourmand;43.73072, 3.80944;4 Rue des Arcs Boutants
MAISON AUBERT;"Les limonades Aubert ont été créées par Jules Aubert en 1876. La recette et le procédé de fabrication original ont été primés à de nombreux concours agricoles.
La famille développera aussi la distribution de boissons et la vente de pains de glace. Les établissements Aubert deviendront un acteur important de la distribution de boissons sur le littoral de l’Hérault.
Aujourd'hui, David Flipo, petit-fils de Jean Aubert s'est relancé dans la fabrication des limonades Aubert en installant à nouveau la production dans l'Hôtel particulier familial de Pézenas.  
Avec la volonté de proposer une alternative plus saine et goûteuse aux boissons pétillantes actuelles, les boissons sont certifiées AB, fabriquées à partir d’extraits naturels et avec une teneur en sucre pure canne plus faible que les limonades traditionnelles. 
Les produits s’articulent autour de limonades classiques s'inscrivant dans un caractère « authentique et traditionnel » et d’infusions pétillantes.";PEZENAS;34120;34199;;Producteur;Agriculture Biologique;Artisanat gourmand;43.4591213, 3.42492327;32 Rue Conti
DOMAINE DE BALAUSSAN;Depuis 7 générations, nous cultivons nos terres avec passion, dans le respect de la tradition et du terroirà Roquebrun, dans le Parc Naturel Régional du Haut Languedoc. Ce petit village pittoresque bénéficie d'un climat doux et de sols schisteux qui permettent à tous nos cépages de s'épanouir et de nous offrir toutes leurs typicités;ROQUEBRUN;34460;34232;;;;Vente de vins au caveau;43.5003314, 3.0269057;8 avenue des orangers
MONSIEUR GINGEMBRE;"A Nébian, agriculture locale & artisanale pour Steeve, issu de la 3ième génération à cultiver du gingembre en France.
Pionnier de la culture en France depuis 2017, notre culture est certifiée BIOLOGIQUE (sans aucun traitement). Philosophie du bien manger et de façon saine, on retrouve le gingembre sur les marchés bio, locaux, boutiques paysannes de notre territoire et au-delà, frais ou transformé";NEBIAN;34800;34180;;Producteur;Agriculture Biologique;Vente des produits de l’exploitation;43.6078632, 3.4278156;RACINES YSUNYEU
HISTOIRES GOURMANDES;Histoires Gourmandes, c’est une biscuiterie artisanale et raisonnée, dédiée à la qualité et aux saveurs locales. Les recettes, simples et authentiques, sont réalisées sans conservateurs, colorants ou additifs, avec des ingrédients soigneusement sélectionnés : beurre, farine du Tarn, miel et œufs de Béziers, et des épices ou chocolats venus d’ici et d’ailleurs. Biscuits sucrés et salés, pains d’épices ou gressins, chaque création vous promet un voyage gourmand. Venez découvrir et déguster ces produits d’exception, fruits d’un savoir-faire qui ravira vos papilles.;MAUREILHAN;34370;34155;;Producteur;Engagé RSE;Artisanat gourmand;43.3529566, 3.1222917;580 chemin de Quarante
MAS DE VILLETELLE;"Au Mas de Villetelle, entre Gignac et Saint-Bauzille-de-la-Sylve, Terri, Andon et Bernard Favre, cultivent les plantes aromatiques et médicinales : 
- Lavande et lavendin,
- Immortelle d'Italie
- Sariette
- Thym 
- Romarin...

C'est une exploitation familiale au cœur du Languedoc : Culture de lavande, Immortelle d’Italie, Plaqueminiers (kakis), miel.

Toutes nos cultures sont certifiées bio par Ecocert.";GIGNAC;34150;34114;;Producteur;Ecocert;Vente des produits de l’exploitation;43.6297102, 3.55810084;Lieu-dit Villetelle
LE PETIT ZESTE;"Le petit zeste est une biscuiterie située à Lunel, à l’Est de Montpellier, fondée par deux ingénieurs agronomes dont la vocation est de mettre en valeur les matières premières locales dans ses biscuits.
Les recettes sont gourmandes et originales et toujours sans conservateurs, sans arômes artificiels ni colorants.
Les biscuits se déclinent en deux gammes, salée et sucrée, pour tous les palais et toutes les occasions de consommation. Aux aficionados de l'apéritif, les sablés à l'huile d'olive, Pélardon AOP et herbes de Provence, pour les adeptes de la pause sucrée préférez des marguerites sablées avec une ganache au chocolat noir Valrhona, huile d'olive et fleur de sel de Camargue ou encore les croustillants aux noisettes et au miel médaillés d’argent au concours Hérault Gourmand 2021-2022 !
Mais aussi, Le petit zeste vous propose des coffrets cadeaux associant les biscuits à une photo souvenir et un petit mot pour surprendre vos proches pour les grandes et petites occasions.";LUNEL;34400;34145;;Producteur;;Artisanat gourmand;43.6775961, 4.1206642;80 rue de l'industrie
LA MIELLERIE DE L'ABEIAU;"La Miellerie de l’Abeiaü est née d’une histoire familiale qui dure depuis plus de 30 ans. Mon père était  apiculteur amateur et passionné. Après 20 ans loin des ruches, cette passion continuait à être dans mon cœur.  Alors, avec le soutien de ma famille, j’ai décidé de lancer mon exploitation apicole et petit à petit, j’ai transmis ma passion à ma femme et mes trois enfants.
La Miellerie de l’Abeiaü a vu le jour en 2020. L’Abeiaü était le surnom donné à mon père au village, il nous a semblé le plus approprié pour notre entreprise pour lui rendre hommage et perpétuer l’héritage familial en évoluant toujours au sein du même village.";CRUZY;34310;34092;;Producteur;;Vente de produits à la ferme;43.355679, 2.940597;11 lotissement le Clos de l'Olivier
L'AMOUR EST DANS L'ASSIETTE;"Au cœur du Saint-Chinianais, l'Amour est dans l'Assiette vous propose des volailles élevées en plein air et des fromages de chèvres produits directement à la ferme.
Mélanie et Jérémy ont repris avec passion la ferme familiale et proposent la vente directe de leurs produits ou sur le marché de Saint-Chinian le jeudi et le dimanche.
Dégustez également ces savoureux produits au restaurant l'Auberge Vigneronne à la Bosque, délicatement grillés au flambadou.
De mars à octobre, participez à la traite des chèvres tous les soirs à 17h30 et visitez la ferme, pour vivre un moment de partage avec des agriculteurs passionnés et les animaux !";PIERRERUE;34360;34201;;Eleveur;;Vente de produits à la ferme;43.453229, 2.959835;La Bosque
LA FERME DE LO MASEL;"Petit élevage d'une cinquantaine de porcs à Quarante, la famille Rivayrant mise davantage sur la qualité de la viande que sur la quantité. Travaillant exclusivement sur des races de caractère (porcs noirs, Kintoa, Mangalitsa), les animaux sont bichonnés et élevés en plein air. (Sans OGM non antibiotiques)

Jean-Philippe et Magdaleine sont véritablement passionnés par leur métier et des amoureux de la terre. Ils produisent pâtés, rillettes, saucissons, saucisse et viande tout est bon dans le cochon et particulièrement au Masèl. Retrouvez les produits sur les marchés du territoire et sur commande.";QUARANTE;34310;34226;;Producteur;;Vente de produits à la ferme;43.3450058, 2.960782;Les Parasols
DÉGUS'THAU;"Au cœur des cabanes ostréicoles, vous allez découvrir un lieu atypique, authentique et naturel. Déguster nos produits 100% issus de notre production et sorties devant vous de l'eau.
Privatisation possible, accueil de groupes";MEZE;34140;34157;;;;Vente de produits à la ferme;43.4255939, 3.606834;Lieu dit Les Campagnes
LES PIMENTS DU BOUT DU MONDE;"Les Piments du Bout du Monde est une petite ferme paysanne dans les contreforts du Larzac, cultivant des piments de toutes forces, du Végétarien au Carolina Reaper, depuis 2019. Ils ont reçu les trophées départementaux ET régionaux ""S'engager"" du prix de la TPE en 2023.
Les plants sont cultivés de la graine aux fruits en plein champs, en BIO et de manière totalement naturelle. 
Tout est fait à la main : de la récolte à maturité au tri, lavage, séchage, embouteillage et même l'étiquetage !
Ils vendent aux professionnels et aux particuliers au détail, en piments frais, secs, en poudre, mais aussi transformés selon leurs recettes : trois gammes de sauces piquantes, des sels pimentés, pickles et autres petits plaisirs piquants parfois surprenants.";SAINT-ETIENNE-DE-GOURGAS;34700;34251;;Producteur;Agriculture Biologique;Vente des produits de l’exploitation;43.7683558, 3.3805992;107 Rue du Stade
